name,position,team,lineup_slot,injury_status,ownership_pct,season_r,season_hr,season_rbi,season_sb,season_obp,season_k,season_qs,season_era,season_whip,season_svhd,14d_r,14d_hr,14d_k,14d_era,14d_whip,xwoba,xfip,siera,wrc_plus,buy_low,sell_high
Nick Kurtz,1B,,1B,ACTIVE,97.0,39.0,10.0,41.0,6.0,0.439,,,,,,10.0,2.0,,,,0.392,,,161.0,False,False
Miguel Vargas,3B,,1B/3B,ACTIVE,86.5,44.0,15.0,38.0,9.0,0.366,,,,,,10.0,4.0,,,,0.394,,,143.0,True,False
Nico Hoerner,2B,,2B,ACTIVE,98.2,24.0,4.0,33.0,11.0,0.335,,,,,,1.0,0.0,,,,0.337,,,101.0,False,False
Ildemaro Vargas,2B,,2B/SS,ACTIVE,71.3,30.0,7.0,37.0,1.0,0.316,,,,,,3.0,0.0,,,,0.318,,,113.0,False,False
Max Muncy,3B,,3B,ACTIVE,57.8,39.0,14.0,21.0,0.0,0.351,,,,,,4.0,2.0,,,,0.393,,,144.0,False,False
Christian Yelich,DH,,BE,ACTIVE,76.4,21.0,4.0,18.0,3.0,0.342,,,,,,8.0,1.0,,,,0.283,,,120.0,False,False
JJ Bleday,CF,,BE,ACTIVE,49.9,19.0,10.0,27.0,1.0,0.398,,,,,,7.0,4.0,,,,0.409,,,183.0,False,False
Jake Bauers,1B,,BE,ACTIVE,41.1,31.0,9.0,33.0,4.0,0.36,,,,,,4.0,2.0,,,,0.352,,,137.0,False,False
Mookie Betts,SS,,BE,ACTIVE,95.5,14.0,6.0,16.0,0.0,0.259,,,,,,4.0,2.0,,,,0.332,,,83.0,True,False
Will Smith,C,,BE,ACTIVE,90.2,22.0,6.0,23.0,0.0,0.333,,,,,,6.0,2.0,,,,0.386,,,105.0,False,False
Carter Jensen,C,,C,ACTIVE,20.5,23.0,7.0,26.0,0.0,0.305,,,,,,4.0,1.0,,,,0.277,,,90.0,False,False
Samuel Basallo,C,,C,ACTIVE,39.5,23.0,9.0,25.0,0.0,0.345,,,,,,5.0,3.0,,,,0.356,,,138.0,False,False
Emilio Pagan,RP,,IL,FIFTEEN_DAY_DL,49.9,,,,,,11.0,0.0,6.429,1.429,6.0,,,,,,,5.653,4.943,,False,False
Corbin Carroll,RF,,OF,ACTIVE,99.7,37.0,7.0,28.0,7.0,0.379,,,,,,5.0,0.0,,,,0.366,,,152.0,False,False
Jakob Marsee,CF,,OF,ACTIVE,34.5,33.0,3.0,16.0,14.0,0.319,,,,,,5.0,0.0,,,,0.297,,,81.0,False,False
Juan Soto,RF,,OF,ACTIVE,99.8,27.0,13.0,29.0,5.0,0.388,,,,,,10.0,7.0,,,,0.418,,,168.0,False,False
Mike Trout,DH,,OF,ACTIVE,97.9,45.0,14.0,31.0,5.0,0.41,,,,,,12.0,3.0,,,,0.422,,,150.0,False,False
Pete Crow-Armstrong,CF,,OF,ACTIVE,91.7,33.0,7.0,26.0,12.0,0.325,,,,,,8.0,2.0,,,,0.345,,,105.0,False,False
Bryan Baker,RP,,P,ACTIVE,60.8,,,,,,29.0,0.0,2.219,1.068,17.0,,,6.0,0.0,1.0,,3.399,3.214,,False,False
Framber Valdez,SP,,P,ACTIVE,81.6,,,,,,54.0,7.0,4.389,1.315,0.0,,,9.0,3.55,0.947,,4.266,4.359,,False,False
Logan Webb,SP,,P,ACTIVE,89.3,,,,,,47.0,5.0,4.815,1.395,0.0,,,5.0,2.08,1.385,,3.471,3.665,,True,False
Mason Miller,RP,,P,ACTIVE,99.5,,,,,,49.0,0.0,0.72,0.84,17.0,,,4.0,0.0,1.0,,1.05,1.415,,False,False
Michael King,SP,,P,ACTIVE,88.5,,,,,,65.0,5.0,3.176,1.132,0.0,,,6.0,8.38,1.552,,3.988,4.061,,False,False
Nathan Eovaldi,SP,,P,ACTIVE,87.4,,,,,,67.0,6.0,3.932,1.107,0.0,,,12.0,5.14,0.929,,3.374,3.383,,False,False
Paul Sewald,RP,,P,ACTIVE,38.3,,,,,,24.0,0.0,3.627,0.716,15.0,,,5.0,1.5,0.167,,4.358,3.715,,False,False
Sonny Gray,SP,,P,ACTIVE,83.0,,,,,,41.0,5.0,3.06,1.2,0.0,,,11.0,3.6,1.5,,3.742,3.924,,False,False
Taj Bradley,SP,,P,ACTIVE,72.3,,,,,,65.0,5.0,3.214,1.214,0.0,,,13.0,5.0,1.333,,3.669,3.536,,False,False
Yoshinobu Yamamoto,SP,,P,ACTIVE,99.8,,,,,,69.0,8.0,2.856,0.995,0.0,,,13.0,0.73,1.135,,3.183,3.251,,False,False
Xavier Edwards,2B,,SS,ACTIVE,93.5,41.0,6.0,20.0,9.0,0.398,,,,,,6.0,1.0,,,,0.354,,,147.0,False,False
Brayan Rocchio,SS,,UTIL,ACTIVE,42.1,26.0,4.0,27.0,9.0,0.374,,,,,,4.0,0.0,,,,0.319,,,127.0,False,False
Willson Contreras,1B,,UTIL,ACTIVE,30.3,26.0,11.0,33.0,1.0,0.384,,,,,,5.0,1.0,,,,0.399,,,144.0,False,False
